Title,Author,Year Published,Average GoodReads Rating,Number of Pages
The Color of Money: Black Banks and the Racial Wealth Gap,Mehrsa Baradaran,2017,4.47,371
Black Reconstruction in America 1860-1880,W.E.B. Du Bois,1998,4.52,746
Uncomfortable Conversations with a Black Boy,Emmanuel Acho,2021,4.41,320
The Ledger and the Chain: How Domestic Slave Traders Shaped America,Joshua D. Rothman,2021,4.32,512
Give Us the Ballot: The Modern Struggle for Voting Rights in America,Ari Berman,2015,4.39,384
Charged: The New Movement to Transform American Prosecution and End Mass Incarceration,Emily Bazelon,2019,4.31,408
Remembrance,Rita Woods,2020,3.72,416
We Are Not Like Them,Christine Pride,2021,4.05,336
Call Us What We Carry,Amanda Gorman,2021,4.26,228
Punishment Without Crime: How Our Massive Misdemeanor System Traps the Innocent and Makes America More Unequal,Alexandra Natapoff,2018,4.16,352
Ain't I a Woman: Black Women and Feminism,bell hooks,1999,4.5,205
How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint   Smith,2021,4.7,336
White Tears/Brown Scars: How White Feminism Betrays Women of Color,Ruby Hamad,2020,4.55,284
"Our Time Is Now: Power, Purpose, and the Fight for a Fair America",Stacey Abrams,2020,4.41,10
How the Other Half Eats: The Untold Story of Food and Inequality in America,Priya Fielding-Singh,2021,4.08,352
"Beloved (Beloved Trilogy, #1)",Toni Morrison,2004,3.98,325
"The Burning: Massacre, Destruction, and the Tulsa Race Riot of 1921",Tim Madigan,2001,4.42,304
Black American Refugee: Escaping the Narcissism of the American Dream,Tiffanie Drayton,2022,4.04,304
Reflections by Rosa Parks: The Quiet Strength and Faith of a Woman Who Changed a Nation,Rosa Parks,2018,4.25,96
The Underground Railroad,Colson Whitehead,2016,4.06,306
The Nickel Boys,Colson Whitehead,2019,4.25,213
The Thing Around Your Neck,Chimamanda Ngozi Adichie,2009,4.22,218
Death in a Promised Land: The Tulsa Race Riot of 1921,Scott Ellsworth,1992,4.15,184
I'm Judging You: The Do-Better Manual,Luvvie Ajayi,2016,3.69,241
Uncomfortable Conversations With a Black Man,Emmanuel Acho,2020,4.38,256
This Is the Fire: What I Say to My Friends About Racism,Don Lemon,2021,4.22,213
Notes of a Native Son,James Baldwin,1984,4.36,192
The Souls of Black Folk,W.E.B. Du Bois,1996,4.31,288
How We Get Free: Black Feminism and the Combahee River Collective,Keeanga-Yamahtta Taylor,2017,4.46,191
The Purpose of Power: How We Come Together When We Fall Apart,Alicia Garza,2020,4.35,336
The End of White Politics: How to Heal Our Liberal Divide,Zerlina Maxwell,2020,3.93,224
"Say It Louder!: Black Voters, Voices & the Shaping of American Democracy",Tiffany Cross,2020,4.34,7
"No, You Shut Up: Speaking Truth to Power and Reclaiming America",Symone Sanders,2020,3.98,1
"They Can't Kill Us All: Ferguson, Baltimore, and a New Era in America’s Racial Justice Movement",Wesley Lowery,2016,4.04,256
The Fire This Time: A New Generation Speaks About Race,Jesmyn Ward,2016,4.35,226
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,1993,4.3,289
We Want to Do More Than Survive: Abolitionist Teaching and the Pursuit of Educational Freedom,Bettina L. Love,2019,4.52,200
"Freedom is a Constant Struggle: Ferguson, Palestine and the Foundations of a Movement",Angela Y. Davis,2016,4.44,158
Homie,Danez Smith,2020,4.4,96
"Stamped: Racism, Antiracism, and You",Jason Reynolds,2020,4.46,294
From Here to Equality: Reparations for Black Americans in the Twenty-First Century,William A. Darity Jr.,2020,4.38,424
The Sun Does Shine: How I Found Life and Freedom on Death Row,Anthony Ray Hinton,2018,4.65,272
Siddhartha,Hermann Hesse,1981,4.08,152
The Code of the Extraordinary Mind: 10 Unconventional Laws to Redefine Your Life and Succeed On Your Own Terms,Vishen Lakhiani,2016,4.04,288
"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,2005,4.13,304
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,2009,4.1,256
The Creative Act: A Way of Being,Rick Rubin,2023,3.95,406
How to Win Friends & Influence People,Dale Carnegie,1998,4.22,288
"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",David Foster Wallace,2009,4.47,138
Linchpin: Are You Indispensable?,Seth Godin,2010,3.83,244
Spy Secrets That Can Save Your Life: A Former CIA Officer Reveals Safety and Survival Techniques to Keep You and Your Family Protected,Jason Hanson,2015,3.64,272
Ask Me What's For Dinner One More Time: Inappropriate Thoughts on Motherhood,Meredith Masony,2020,3.83,256
Hijacking Bitcoin: The Hidden History of BTC,Roger Ver,2024,4.21,306
The Bullish Case for Bitcoin,Vijay Boyapati,2021,4.42,156
The Conspiracy to End America: Five Ways My Old Party Is Driving Our Democracy to Autocracy,Stuart Stevens,2023,4.4,240
The Most Good You Can Do: How Effective Altruism Is Changing Ideas About Living Ethically,Peter Singer,2015,3.8,211
The Art of Gathering: How We Meet and Why It Matters,Priya Parker,2018,3.95,304
"The Daily Dad: 366 Meditations on Parenting, Love and Raising Great Kids",Ryan Holiday,2023,4.54,432
"The Midnight Library (The Midnight World, #1)",Matt Haig,2020,3.98,288
"What Remains: A Memoir of Fate, Friendship, and Love",Carole Radziwill,2005,4.21,264
How Civil Wars Start: And How to Stop Them,Barbara F. Walter,2022,4.24,320
"Buy Back Your Time: Get Unstuck, Reclaim Your Freedom, and Build Your Empire",Dan Martell,2023,4.37,272
Standing My Ground: A Capitol Police Officer's Fight for Accountability and Good Trouble After January 6th,Harry  Dunn,2023,4.3,256
The Bitcoin Standard: The Decentralized Alternative to Central Banking,Saifedean Ammous,2018,4.17,304
Trump: The Art of the Deal,Donald J. Trump,2004,3.71,384
Bitcoin: The Ultimate Collateral,Martin Connor,2024,2.67,111
The Buried: An Archaeology of the Egyptian Revolution,Peter Hessler,2019,4.36,480
The Grieving Brain: The Surprising Science of How We Learn from Love and Loss,Mary-Frances O'Connor,2022,4.16,236
"The Comfort Crisis: Embrace Discomfort To Reclaim Your Wild, Happy, Healthy Self",Michael Easter,2021,4.24,304
The Extinction of Experience: Being Human in a Disembodied World,Christine Rosen,2024,3.65,272
Discipline Is Destiny: The Power of Self-Control,Ryan Holiday,2022,4.25,312
Courage Is Calling: Fortune Favors the Brave,Ryan Holiday,2021,4.03,278
Wave,Sonali Deraniyagala,2013,3.8,274
The Phantom Tollbooth,Norton Juster,1996,4.2,256
Braving the Wilderness,Brené Brown,2017,4.12,197
Wait Till Next Year,Doris Kearns Goodwin,1998,4.05,272
Power Metal: The Race for the Resources That Will Shape the Future,Vince Beiser,2024,4.05,272
"The Power (The Secret, #2)",Rhonda Byrne,2010,4.08,272
"When You're Ready, This Is How You Heal",Brianna Wiest,2022,4.19,235
Only the Paranoid Survive: How to Exploit the Crisis Points that Challenge Every Company and Career,Andrew S. Grove,1998,3.98,224
The Pivot Year,Brianna Wiest,2023,4.09,368
The Silva Mind Control Method of Mental Dynamics,José Silva,2021,3.75,
Upstream: The Quest to Solve Problems Before They Happen,Dan Heath,2020,4.14,320
No Bad Parts: Healing Trauma & Restoring Wholeness with the Internal Family Systems Model,Richard C. Schwartz,2021,4.1,199
Complicit: How We Enable the Unethical and How to Stop,Max H. Bazerman,2022,3.55,237
"The Greatest Secret (The Secret, #5)",Rhonda Byrne,2020,3.8,276
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,2020,4.04,250
Switch: How to Change Things When Change Is Hard,Chip Heath,2010,4.03,305
I'll Have What She's Having,Chelsea Handler,2025,4.14,320
The Art of Thinking Clearly,Rolf Dobelli,2013,3.85,384
A Grief Observed,C.S. Lewis,2015,4.22,76
Knife: Meditations After an Attempted Murder,Salman Rushdie,2024,3.98,209
No Time to Panic: How I Curbed My Anxiety and Conquered a Lifetime of Panic Attacks,Matt Gutman,2023,3.65,240
Lost & Found: A Memoir,Kathryn Schulz,2022,4.11,256
Heartbreak Is the National Anthem: How Taylor Swift Reinvented Pop Music,Rob Sheffield,2024,3.55,208
We Need to Talk: How to Have Conversations that Matter,Celeste Headlee,2017,3.94,272
The Serviceberry: Abundance and Reciprocity in the Natural World,Robin Wall Kimmerer,2024,4.27,112
How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David  Brooks,2023,4.03,306
"The Psychedelic Handbook: A Practical Guide to Psilocybin, LSD, Ketamine, MDMA, and Ayahuasca",Rick Strassman,2022,4.24,198
The Great Taking,David Rogers Webb,2023,4.13,133
Post Corona: From Crisis to Opportunity,Scott Galloway,2020,3.95,256
Meditations for Mortals: Four Weeks to Embrace Your Limitations and Make Time for What Counts,Oliver Burkeman,2024,4.27,208
Adrift: America in 100 Charts,Scott Galloway,2022,3.89,320
"Catching the Big Fish: Meditation, Consciousness, and Creativity",David  Lynch,2006,3.77,181
The Book of Knowing,Gwendoline Smith,2019,3.67,192
What Are Children For?: On Ambivalence and Choice,Anastasia Berg,2024,3.44,336
The Measure,Nikki Erlick,2022,3.96,353
Kamala's Way: An American Life,Dan Morain,2021,3.32,288
Small Acts of Courage: A Legacy of Endurance and the Fight for Democracy,Ali Velshi,2024,4.48,304
Wordslut: A Feminist Guide to Taking Back the English Language,Amanda Montell,2019,4.23,304
I'm Laughing Because I'm Crying,Youngmi Mayer,2024,4.16,256
Fighting for Our Friendships: The Science and Art of Conflict and Connection in Women's Relationships,Danielle Bayard Jackson,2024,4.16,272
The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,Robin Sharma,2024,4.22,416
Slow Productivity: The Lost Art of Accomplishment Without Burnout,Cal Newport,2024,3.67,244
"Autocracy, Inc.",Anne Applebaum,2024,4.18,224
The MAGA Diaries: My Surreal Adventures Inside the Right-Wing (And How I Got Out),Tina  Nguyen,2024,3.23,272
"Gilead (Gilead, #1)",Marilynne Robinson,2006,3.85,247
Steppenwolf,Hermann Hesse,1999,4.13,256
Growing Up Urkel,Jaleel White,2024,3.41,336
A Return to Common Sense: How to Fix America Before We Really Blow It,Leigh McGowan,2024,4.58,304
The Things You Can See Only When You Slow Down: How to Be Calm in a Busy World,Haemin Sunim,2017,4.02,288
The House of Hidden Meanings,RuPaul,2024,3.79,256
The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,2021,4.35,304
Democracy in Retrograde: How to Make Changes Big and Small in Our Country and in Our Lives,Sami Sage,2024,4.01,256
Letters from a Stoic,Seneca,2004,4.32,254
"Bits and Pieces: My Mother, My Brother, and Me",Whoopi Goldberg,2024,4.29,256
"Say More: Lessons from Work, the White House, and the World",Jen Psaki,2024,3.91,240
Dirty Laundry: Why Adults with ADHD Are So Ashamed and What We Can Do to Help,Richard Pink,2023,3.98,144
"True Gretch: What I've Learned About Life, Leadership, and Everything in Between",Gretchen Whitmer,2024,4.25,176
The Big Nine: How the Tech Titans and Their Thinking Machines Could Warp Humanity,Amy   Webb,2019,3.75,336
You Are What You Watch,Walter Hickey,2023,3.65,240
Talk Money to Me : The 8 Essential Financial Questions to Discuss With Your Partner,Jason Tartick,,3.71,0
The Road,Cormac McCarthy,2006,4,241
The Age of Magical Overthinking: Notes on Modern Irrationality,Amanda Montell,2024,3.43,259
"Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness",Jon Kabat-Zinn,2013,4.16,722
Refuse to Be Done: How to Write and Rewrite a Novel in Three Drafts,Matt   Bell,2022,4.43,156
Mindfulness Meditation in Everyday Life,Jon Kabat-Zinn,1995,3.95,0
"Rebels with a Cause: Reimagining Boys, Ourselves, and Our Culture",Niobe Way,2024,3.76,336
UnClobber,Colby Martin,2016,4.21,208
"""You Should Be Grateful"": Stories of Race, Identity, and Transracial Adoption",Angela Tucker,2023,4.56,216
Meditation Is Not What You Think: Mindfulness and Why It Is So Important,Jon Kabat-Zinn,2018,3.55,240
The Stranger,Albert Camus,1989,4.03,123
Mindfulness for Beginners: Explore the Infinite Potential that Lies Within This Very Moment,Jon Kabat-Zinn,2006,3.78,170
Fatal Conveniences: The Toxic Products and Harmful Habits That Are Making You Sick―and the Simple Changes That Will Save Your Health,Darin Olien,2023,3.74,304
By the Fire We Carry: The Generations-Long Fight for Justice on Native Land,Rebecca Nagle,2024,4.39,352
"Off the Sidelines: Raise Your Voice, Change the World",Kirsten Gillibrand,2014,3.9,224
Built Through Courage: Face Your Fears to Live the Life You Were Meant For,Dave Hollis,2021,3.75,256
The Secret Lives of Booksellers and Librarians: True Stories of the Magic of Reading,James  Patterson,2024,3.88,335
App Kid: How a Child of Immigrants Grabbed a Piece of the American Dream,Michael Sayman,2021,3.76,304
Unreasonable Hospitality: The Remarkable Power of Giving People More Than They Expect,Will Guidara,2022,4.41,288
The Way of Integrity: Finding the Path to Your True Self,Martha N. Beck,2021,4.17,327
Inside Out,Demi Moore,2019,3.95,262
The Maniac,Benjamín Labatut,2023,4.33,368
Memory Piece,Lisa Ko,2024,3.19,304
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,2023,4.17,352
This Other Eden,Paul Harding,2023,3.76,224
"The Perfect Story: How to Tell Stories that Inform, Influence, and Inspire",Karen Eber,2023,3.78,288
How to Walk into a Room: The Art of Knowing When to Stay and When to Walk Away,Emily P. Freeman,2024,3.87,232
"Of Boys and Men: Why the Modern Male Is Struggling, Why It Matters, and What to Do About It",Richard V. Reeves,2022,4,298
Live Free: Exceed Your Highest Expectations,DeVon Franklin,2021,3.93,288
Fair Play: A Game-Changing Solution for When You Have Too Much to Do (And More Life to Live),Eve Rodsky,2019,3.58,352
The Vaster Wilds,Lauren Groff,2023,3.75,256
Trauma: The Invisible Epidemic: How Trauma Works and How We Can Heal From It,Paul Conti,2021,3.73,200
A Heart That Works,Rob Delaney,2023,4.62,192
The Myth of Sisyphus and Other Essays,Albert Camus,1991,4.21,212
Exit West,Mohsin Hamid,2017,3.74,231
The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,2017,3.99,368
Believing: Our Thirty-Year Journey to End Gender Violence,Anita Hill,2021,4.17,334
Flawless: Inside the Largest Diamond Heist in History,Scott Andrew Selby,2010,3.88,336
I Shouldn’t Be Telling You This [But I'm Going to Anyway],Chelsea Devantez,2024,3.87,272
Burn Book: A Tech Love Story,Kara Swisher,2024,3.94,305
Dr. Disaster's Guide To Surviving Everything: Essential Advice for Any Situation Life Throws Your Way,John E. Torres,2021,4.09,240
"The Algebra of Happiness: Notes on the Pursuit of Success, Love, and Meaning",Scott Galloway,2019,3.77,256
LINUX FOR BEGINNERS: How to Master the Linux Operating System and Command Line from Scratch,Noah Herrmann,2021,4,137
Smart Sex,Emily Morse,2023,4.05,305
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In",Phuc  Tran,2020,4.29,320
The Easy Way to Stop Smoking (Allen Carr's Easyway Book 10),Allen Carr,1985,4.28,276
The Doors of Perception,Aldous Huxley,1954,3.9,208
Limitless: The Federal Reserve Takes on a New Age of Crisis,Jeanna Smialek,2023,4.07,384
"One in a Millennial: On Friendship, Feelings, Fangirls, and Fitting In",Kate Kennedy,2024,3.71,328
Finding Freedom: A Cook's Story; Remaking a Life from Scratch,Erin French,2021,4.25,304
Finding Latinx: In Search of the Voices Redefining Latino Identity,Paola Ramos,2020,4.12,336
The First Phone Call from Heaven,Mitch Albom,2013,3.79,323
Biting the Hand: Growing Up Asian in Black and White America,Julia       Lee,2023,4.33,248
"The Last Town (Wayward Pines, #3)",Blake Crouch,2014,4.09,294
"Wayward (Wayward Pines, #2)",Blake Crouch,2013,4.16,298
"Pines (Wayward Pines, #1)",Blake Crouch,2012,3.92,307
"Everyday Utopia: What 2,000 Years of Wild Experiments Can Teach Us About the Good Life",Kristen R. Ghodsee,2023,3.98,352
The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,Roman Mars,2020,4.03,394
All Fours,Miranda July,2024,3.4,336
Coming Home,Brittney Griner,2024,4.37,320
Think Like a Rocket Scientist: Simple Strategies You Can Use to Make Giant Leaps in Work and Life,Ozan Varol,2020,4.17,368
The Jakarta Method: Washington's Anticommunist Crusade and the Mass Murder Program that Shaped Our World,Vincent Bevins,2020,4.61,320
The Virgin Suicides,Jeffrey Eugenides,2002,3.78,250
"You're Invited: The Art and Science of Connection, Trust, and Belonging",Jon  Levy,2021,3.63,272
That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,2019,4.22,336
"The Information Trade: How Big Tech Conquers Countries, Challenges Our Rights, and Transforms Our World",Alexis Wichowski,2020,3.7,304
Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine,Mike Michalowicz,2017,4.26,224
Influence Is Your Superpower: How to Get What You Want Without Compromising Who You Are,Zoe Chance,2023,4.15,304
Your Face Belongs to Us: A Secretive Startup's Quest to End Privacy as We Know It,Kashmir  Hill,2023,4.11,352
The Algebra of Wealth: A Simple Formula for Financial Security,Scott Galloway,2024,4.06,304
The Little Liar,Mitch Albom,2023,4.56,333
"The Courage to Be Disliked: How to Free Yourself, Change Your Life and Achieve Real Happiness",Ichiro Kishimi,2019,3.91,288
Have a Little Faith: a True Story,Mitch Albom,2009,4.2,249
Going Zero,Anthony McCarten,2023,3.88,304
The Catalyst: How to Change Anyone's Mind,Jonah Berger,2020,3.92,288
Swipe Up for More!: Inside the Unfiltered Lives of Influencers,Stephanie  McNeal,2023,3.18,272
The Magic Strings of Frankie Presto,Mitch Albom,2015,4.37,489
One Way Back: A Memoir,Christine Blasey Ford,2024,4.27,298
Pockets: An Intimate History of How We Keep Things Close,Hannah  Carlson,2023,3.6,320
Turtles All the Way Down,John Green,2017,3.87,290
Like Brothers,Mark Duplass,2018,4.03,0
The Next Person You Meet in Heaven: The sequel to The Five People You Meet in Heaven,Mitch Albom,2018,4.33,224
"Finding Chika: A Little Girl, an Earthquake, and the Making of a Family",Mitch Albom,2019,4.46,256
The Time Keeper,Mitch Albom,2012,3.9,224
Upgrade,Blake Crouch,2022,3.81,352
Fight Right: How Successful Couples Turn Conflict Into Connection,Julie Schwartz Gottman,2024,4.52,352
Equal Partners: Improving Gender Equality at Home,Kate Mangino,2022,4.2,352
Believe It: How to Go from Underestimated to Unstoppable,Jamie Kern Lima,2021,4.16,288
"A Healthy State of Panic: Follow Your Fears to Build Wealth, Crush Your Career, and Win at Life",Farnoosh Torabi,2023,4.03,288
"Extremely Online: The Untold Story of Fame, Influence, and Power on the Internet",Taylor Lorenz,2023,3.6,384
What Happened,Hillary Rodham Clinton,2017,3.92,19
Born to Run,Bruce Springsteen,2016,4.19,
Money and Love: An Intelligent Roadmap for Life’s Biggest Decisions,Myra Strober,2023,3.78,320
Financial Feminist: Overcome the Patriarchy's Bullsh*t to Master Your Money and Build a Life You Love,Tori Dunlap,2022,4.09,306
"A Beginner's Guide to High-Risk, High-Reward Investing: From Cryptocurrencies and Short Selling to SPACs and NFTs, an Essential Guide to the Next Big Investment",Robert Ross,2022,3.94,256
"Sold Out: How Broken Supply Chains, Surging Inflation, and Political Instability Will Sink the Global Economy",James Rickards,2022,3.5,272
Number Go Up: Inside Crypto's Wild Rise and Staggering Fall,Zeke Faux,2023,4.24,304
Flat Broke with Two Goats,Jennifer McGaha,2018,3.27,368
Extremely Hardcore: Inside Elon Musk's Twitter,Zoë Schiffer,2024,3.97,330
"When I Was Your Age: Life Lessons, Funny Stories & Questionable Parenting Advice from a Professional Clown – A Hilarious Memoir on Fatherhood and Positivity from an SNL Icon",Kenan Thompson,2023,3.83,240
"Automate Your Busywork: Do Less, Achieve More, and Save Your Brain for the Big Stuff",Aytekin Tank,2023,3.28,256
Oath and Honor: A Memoir and a Warning,Liz Cheney,2023,4.56,372
Numbers Don't Lie: 71 Things You Need to Know About the World,Vaclav Smil,2020,3.82,384
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,2014,4.06,260
Will My Cat Eat My Eyeballs? And Other Questions About Dead Bodies,Caitlin Doughty,2020,4.12,232
I Want to Die But I Want to Eat Tteokpokki,Baek Se-hee,2019,3.21,232
Ultra-Processed People: The Science Behind Food That Isn't Food,Chris van Tulleken,2023,4.38,384
